date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:13:26	7131/7131	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Jul%202024%2004:51:24%20GMT	https://datamarcos-corporate-sol-si1cqjh.gamma.site/robots.txt		(from )
22:13:27	402326/402326	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Jul%202024%2016:43:27%20GMT	https://datamarcos-corporate-sol-si1cqjh.gamma.site/	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/index.html	(from )
22:13:27	38021/38021	---MCZ	200	added ('OK')	text/css	etag:W/%22d06edd5eaaab8de8fb141eaa757b572d%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/css/7f1bf32feb6a8541.css	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/css/7f1bf32feb6a8541.css	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:27	1202/1202	---MCZ	200	added ('OK')	text/css	etag:W/%22b9f4ef0815a10fddad3d317cf5b28481%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/css/653e7bf73c631b0c.css	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/css/653e7bf73c631b0c.css	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:28	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:28	6530/6530	---MCZ	200	added ('OK')	application/javascript	etag:W/%221101504e2a4c491d290c8e23d49cc6fb%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/webpack-ef1061bad6f9dc2c.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/webpack-ef1061bad6f9dc2c.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:29	141063/141063	---MCZ	200	added ('OK')	application/javascript	etag:W/%22750ff53125589744720af29f6a6ee485%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/framework-0ac6491e82269c86.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/framework-0ac6491e82269c86.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:29	124142/124142	---MCZ	200	added ('OK')	application/javascript	etag:W/%223e22668f563924dbcd9cd1079b28c098%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/main-d6eb89cd5bb22723.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/main-d6eb89cd5bb22723.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:30	336/336	---MCZ	200	added ('OK')	application/javascript	etag:W/%220e46348cf998f6d2290f89aa9be57d57%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/pages/_app-b447acfceb9a52b4.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/pages/_app-b447acfceb9a52b4.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:30	3497/3497	---MCZ	200	added ('OK')	application/javascript	etag:W/%222543c31dd122dd2df5c5380fa45cdf0a%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/5adc83ef-8e07286a1a4aed9b.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/5adc83ef-8e07286a1a4aed9b.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:31	119729/119729	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c09347e1c6d50ce2e8e397fb40fb36b0%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/93656207-ae4c7ec795a89334.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/93656207-ae4c7ec795a89334.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:31	42217/42217	---MCZ	200	added ('OK')	application/javascript	etag:W/%224d4df2a8c1842fa7a44fe3bd27550d88%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/b4d7d80c-027091d6b91d779a.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/b4d7d80c-027091d6b91d779a.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:32	27322/27322	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a3fb7ff58816cf06b35fb53cfdfd01c7%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/ad54e6ef-acfdf0c8fba2940d.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/ad54e6ef-acfdf0c8fba2940d.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:32	881/881	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a7528aeb86b8e1d18462c9367a34f4d6%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/69bd6bf3-bc248ffefb750b46.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/69bd6bf3-bc248ffefb750b46.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:33	6916/6916	---MCZ	200	added ('OK')	application/javascript	etag:W/%226e1be3fa5f3735304ed215cdf3f04421%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/8c469d57-15109969c63e1543.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/8c469d57-15109969c63e1543.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:33	69788/69788	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a94742c4baa1c17608128b3731791b4f%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/2edb282b-a83f7ffd007bccf0.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/2edb282b-a83f7ffd007bccf0.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:34	141417/141417	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bc121d6c577087e084a5d4bacb0d726e%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/998ccc15-ad35dfdb33c695e6.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/998ccc15-ad35dfdb33c695e6.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:34	312814/312814	---MCZ	200	added ('OK')	application/javascript	etag:W/%2277ba712e60de2be24d2d93560671b41c%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/b13ba9de-11ef9f2e07c3e310.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/b13ba9de-11ef9f2e07c3e310.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:35	59428/59428	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc27350b2868a506730d605f9dcf688e%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/91bbf309-aaf9ef7a7a89dd3c.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/91bbf309-aaf9ef7a7a89dd3c.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:35	134426/134426	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a4ed3a20e92813326c61533f40e727c2%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/ad943d25-7fe3a56c8d1cce87.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/ad943d25-7fe3a56c8d1cce87.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:36	92651/92651	---MCZ	200	added ('OK')	application/javascript	etag:W/%22be9f8d7ed3b86fc081f8a7a899c49bdb%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/b155a556-0d5fc585487af832.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/b155a556-0d5fc585487af832.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:36	104840/104840	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f380b59c5c273499b253de937ffb5c44%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/d08a6a05-4dafbbcaa95fed02.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/d08a6a05-4dafbbcaa95fed02.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:37	55332/55332	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d76c7a0769226f9dbd519da1b81a482c%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/9b583bcd-17d841bbd10b7965.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/9b583bcd-17d841bbd10b7965.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:37	64227/64227	---MCZ	200	added ('OK')	application/javascript	etag:W/%221fc953d7d757ec4d0c8e05da59ce0a20%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/1035ef44-e4d66d81a61710cd.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/1035ef44-e4d66d81a61710cd.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:38	60549/60549	---MCZ	200	added ('OK')	application/javascript	etag:W/%220f7cb8c930cabf410f149b1b7393cafe%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/b779bb5e-2a65d4e63e363ec6.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/b779bb5e-2a65d4e63e363ec6.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:38	58277/58277	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c464e6385b6375e40cf1573a91485a24%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/a29ae703-46d951b11c376d36.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/a29ae703-46d951b11c376d36.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:41	2737804/2737804	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262d8fb3943104b51a3b2aea8585c8739%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/1893-6256943fac77f5e0.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/1893-6256943fac77f5e0.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:41	2563408/2563408	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b4fdbf7e52b900e647e9e1af79b9c82%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/4421-edfd889b3dfae67f.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/4421-edfd889b3dfae67f.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:42	958/958	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cecc4874864a9619a5e7e4f5da7ebab2%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/pages/published/%5BdocId%5D-c1cb020c36279ba5.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/chunks/pages/published/[docId]-c1cb020c36279ba5.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:43	6135/6135	---MCZ	200	added ('OK')	application/javascript	etag:W/%2275c4f7790fdba79fda7ecc32ecb97756%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/4NSvUOI3jPSRmmNzs2FMh/_buildManifest.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/4NSvUOI3jPSRmmNzs2FMh/_buildManifest.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
22:13:43	148/148	---MCZ	200	added ('OK')	application/javascript	etag:W/%2204987fc48c39f077c58c57c1c1245e1f%22	https://datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/4NSvUOI3jPSRmmNzs2FMh/_ssgManifest.js	C:/My%20Web%20Sites/datamarcos/datamarcos-corporate-sol-si1cqjh.gamma.site/_next/static/4NSvUOI3jPSRmmNzs2FMh/_ssgManifest.js	(from https://datamarcos-corporate-sol-si1cqjh.gamma.site/)
